iWine,Type,Vintage,Wine,Producer,MasterVarietal,Country,Region,Appellation
5074134,Red,2023,Bedrock Wine Co. Bedrock Vineyard HeritageTest,Bedrock Wine Co.,Zinfandel,USA,California,Sonoma Valley Test13
5166469,Red,2023,Bedrock Wine Co. Cabernet Sauvignon Montecillo Vineyard,Bedrock Wine Co.,Cabernet Sauvignon,USA,California,Moon Mountain District
5268947,Red,2023,Bedrock Wine Co. Cabernet Sauvignon Sonoma County,Bedrock Wine Co.,Cabernet Sauvignon,USA,California,Sonoma County
5166523,Red,2023,Bedrock Wine Co. Carignan Bedrock Vineyard,Bedrock Wine Co.,Carignan,USA,California,Sonoma Valley
5268949,Red,2023,Bedrock Wine Co. Carignan Evangelho Vineyard,Bedrock Wine Co.,Carignan,USA,California,Contra Costa County
5022379,White,2023,Bedrock Wine Co. Compagni Portis,Bedrock Wine Co.,White Blend,USA,California,Sonoma Valley
5074137,Red,2023,Bedrock Wine Co. Heritage Evangelho Vineyard,Bedrock Wine Co.,Zinfandel,USA,California,Contra Costa County
5074139,Red,2023,Bedrock Wine Co. Heritage Wine Dolinsek Ranch,Bedrock Wine Co.,Red Blend,USA,California,Russian River Valley
5159914,Red,2023,Bedrock Wine Co. Heritage Wine Papera Ranch,Bedrock Wine Co.,Zinfandel,USA,California,Russian River Valley
5166476,Red,2023,Bedrock Wine Co. Old Hill Ranch Heritage,Bedrock Wine Co.,Red Blend,USA,California,Sonoma Valley
5074141,Red,2023,Bedrock Wine Co. Old Vine Zinfandel,Bedrock Wine Co.,Zinfandel,USA,California,California
5159434,White,2023,Bedrock Wine Co. Riesling Wirz Vineyard,Bedrock Wine Co.,Riesling,USA,California,Cienega Valley
5268946,White,2023,Bedrock Wine Co. Sauvignon Blanc Judge Family Vineyard,Bedrock Wine Co.,Sauvignon Blanc,USA,California,Bennett Valley
5166468,Red,2023,Bedrock Wine Co. Syrah California,Bedrock Wine Co.,Syrah,USA,California,California
5074136,Red,2023,Bedrock Wine Co. Zinfandel Beeson Ranch,Bedrock Wine Co.,Zinfandel,USA,California,Dry Creek Valley
5268959,Red,2023,Bedrock Wine Co. Zinfandel Belloni Vineyard,Bedrock Wine Co.,Zinfandel,USA,California,Russian River Valley
5167885,Red,2023,Bedrock Wine Co. Zinfandel Evangelho Vineyard,Bedrock Wine Co.,Zinfandel,USA,California,Contra Costa County
5074155,Red,2023,Bedrock Wine Co. Zinfandel Katushas' Vineyard,Bedrock Wine Co.,Zinfandel,USA,California,Lodi Mokelumne River
5166478,Red,2023,Bedrock Wine Co. Zinfandel Sky Vineyard,Bedrock Wine Co.,Zinfandel,USA,California,Mt. Veeder
4894960,White - Sweet/Dessert,2019,Ch�teau B�lingard Monbazillac,Ch�teau B�lingard,S�millon-Sauvignon Blanc Blend,France,Southwest France,Monbazillac
5208304,Red,2022,Benmar Pinot Noir Springbok,Benmar,Pinot Noir,USA,Oregon,Yamhill-Carlton
3735494,White - Sweet/Dessert,2019,Ch�teau Cantegril Sauternes,Ch�teau Cantegril,S�millon-Sauvignon Blanc Blend,France,Bordeaux,Sauternes
